prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,intdrug
56758,21864611000001104,47166020,1,Diltiazem 90mg modified-release capsules (Cubic Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,August 2013,1
31737,655411000001104,80910020,9,Zildil SR 120mg capsules (Healthcare Pharma Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
34758,927211000001109,55896020,3562,Warfarin 3mg tablets (IVAX Pharmaceuticals UK Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
46488,9038811000001106,69947020,2,Clarithromycin 500mg tablets (Ranbaxy (UK) Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,November 2011,1
74915,22409111000001104,15621021,0,Diltiazem 120mg modified-release capsules (DE Pharmaceuticals),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2019,1
34851,417411000001104,54658020,535,Amiodarone 200mg tablets (Teva UK Ltd),Amiodarone hydrochloride,200mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2009,1
39420,349711000001104,96391020,120941,Bezalip Mono 400mg modified-release tablets (Teva UK Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,April 2009,1
52158,9033411000001104,05882020,0,Clarithromycin 250mg tablets (Alliance Healthcare (Distribution) Ltd),Clarithromycin,250mg,Tablet,Oral,05010500,Macrolides,January 2013,1
38818,2887311000001104,95537020,124819,Adizem-SR 120mg capsules (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
82730,18509011000001104,09951020,1,Coumadin 4mg tablets (Imported (Canada)),Warfarin sodium,4mg,Tablet,Oral,02080200,Oral Anticoagulants,January 2021,1
763,318186003,60109020,657941,Amiodarone 100mg tablets,Amiodarone hydrochloride,100mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2009,1
38474,41768311000001104,90389020,196,Posaconazole 40mg/ml oral suspension,Posaconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009,1
60415,17537211000001100,01891020,0,Dilzem XL 180 capsules (Sigma Pharmaceuticals Plc),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,July 2014,1
40885,15914911000001100,95585020,1743,Nicotinic acid 1g / Laropiprant 20mg modified-release tablets,Nicotinic acid/Laropiprant,1gram + 20mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,December 2009,1
53658,8274411000001109,18925020,23,Amiodarone 100mg/5ml oral suspension,Amiodarone hydrochloride,20mg/1ml,Oral suspension,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2013,1
21286,39695811000001104,78254020,64,Imatinib 100mg capsules,Imatinib mesilate,100mg,Capsule,Oral,08010551,Protein Kinase Inhibitors,February 2009,1
6505,41772611000001104,78557020,2384,Voriconazole 200mg tablets,Voriconazole,200mg,Tablet,Oral,05020100,Triazole Antifungals,February 2009,1
36629,39731411000001104,93926020,27690,Aliskiren 150mg tablets,Aliskiren hemifumarate,150mg,Tablet,Oral,02050503,Renin Inhibitors,February 2009,1
47530,591411000001102,76823020,6,Horizem SR 60mg capsules (Horizon lifecare),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,August 2012,1
71969,24597911000001104,26723021,0,Diltiazem 300mg modified-release capsules (Sigma Pharmaceuticals Plc),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,April 2018,1
52743,21263111000001100,44422020,18,Ciclosporin 25mg capsules (Sigma Pharmaceuticals Plc),Ciclosporin,25mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,January 2013,1
51461,5407511000001101,00865020,419,Securon SR 240mg tablets (Waymade Healthcare Plc),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,January 2013,1
10832,81595001000027100,58376020,3173,Securon 80mg Tablet (Abbott Laboratories Ltd),Verapamil hydrochloride,80mg,Tablet,Oral,02030202/02060200,Supraventricular Arrhythmias/Calcium-Channel Blockers,February 2009,1
66701,24101311000001104,23046021,0,Diltiazem 240mg modified-release capsules (DE Pharmaceuticals),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,July 2016,1
23733,159965001000027100,69392020,1608,Optil sr 90mg Modified-release capsule (Opus Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
9903,98935001000027100,60837020,8659,Erythromycin estolate 250mg capsules,Erythromycin Lactobionate,250mg,Capsules,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
60011,22349211000001104,15678021,0,Fluconazole 150mg capsules (Milpharm Ltd),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,May 2014,1
73072,29767311000001108,52546021,24,Aprepitant 25mg/5ml oral suspension,Aprepitant,5mg/1ml,Oral suspension,Oral,04065700,Products Used Against Nausea And Vertigo - Neurokinin Receptor Antagonist,September 2018,1
80332,37369311000001104,87762021,0,Erythrocin 250 tablets (CST Pharma Ltd),Erythromycin stearate,250mg,Tablet,Oral,05010500,Macrolides,April 2020,1
21145,937011000001101,86146020,4400,Dilcardia SR 60mg capsules (Viatris UK Healthcare Ltd),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
63236,18271311000001104,05913020,18,Klaricid 500 tablets (Necessity Supplies Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,May 2015,1
60069,21834111000001104,47902020,10,Prezista 800mg tablets (Janssen-Cilag Ltd),Darunavir,800mg,Tablet,Oral,05030151,Protease Inhibitors,May 2014,1
16065,41758611000001104,87720020,89,Atazanavir 150mg capsules,Atazanavir sulfate,150mg,Capsule,Oral,05030151,Protease Inhibitors,February 2009,1
75576,10418411000001106,65811020,12,Warfarin 3mg tablets (Arrow Generics Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,April 2019,1
30203,36065001000027104,52501020,5666,Warfarin wbp 3mg Tablet (Boehringer Ingelheim Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
43407,456711000001104,56201020,593,Warfarin 3mg tablets (A A H Pharmaceuticals Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,September 2010,1
5390,319992003,86191020,237504,Fenofibrate micronised 267mg capsules,Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,February 2009,1
53168,9547411000001108,71681020,4,Clarithromycin 125mg/5ml oral suspension (Sandoz Ltd),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2013,1
46395,17665811000001108,99164020,576,Capimune 100mg capsules (Viatris UK Healthcare Ltd),Ciclosporin,100mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,November 2011,1
71052,534311000001103,08448020,0,Colchicine 500microgram tablets (Kent Pharma (UK) Ltd),Colchicine,500microgram,Tablet,Oral,10010450,Acute Attacks Of Gout,December 2017,1
6803,36142611000001104,76383020,193627,Clarithromycin 500mg modified-release tablets,Clarithromycin,500mg,Modified-release tablet,Oral,05010500,Macrolides,February 2009,1
480,10335001000027104,49300020,58297,Erythrocin 250mg Tablet (Abbott Laboratories Ltd),Erythromycin stearate,250mg,Tablet,Oral,05010500,Macrolides,February 2009,1
80969,10418211000001108,65808020,9,Warfarin 1mg tablets (Arrow Generics Ltd),Warfarin sodium,1mg,Tablet,Oral,02080200,Oral Anticoagulants,June 2020,1
6934,41790611000001104,76410020,209513,Leflunomide 20mg tablets,Leflunomide,20mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,February 2009,1
67883,23604611000001104,20726021,1,Lomitapide 5mg capsules,Lomitapide,5mg,Capsule,Oral,02120700,Other Lipid-Regulating Products,October 2016,1
33705,173511000001103,54612020,710,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Teva UK Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
53986,19733011000001108,38553020,0,Erythromycin 250mg gastro-resistant tablets (Medreich Plc),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,March 2013,1
4062,389111000001109,58845020,11154,Lopid 600mg tablets (Pfizer Ltd),Gemfibrozil,600mg,Tablet,Oral,02120300,Fibrates,February 2009,1
60788,10138711000001106,72640020,0,Fenofibrate micronised 267mg capsules (Zentiva Pharma UK Ltd),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,August 2014,1
62310,20538311000001104,41332020,6,Warfarin 500microgram tablets (Advanz Pharma),Warfarin sodium,500microgram,Tablet,Oral,02080200,Oral Anticoagulants,February 2015,1
70961,14005411000001108,01872020,2,Tildiem Retard 90mg tablets (DE Pharmaceuticals),Diltiazem hydrochloride,90mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,December 2017,1
76651,14387311000001108,06217020,0,Sporanox 100mg capsules (Sigma Pharmaceuticals Plc),Itraconazole,100mg,Capsule,Oral,05020100,Triazole Antifungals,July 2019,1
71342,10530911000001104,01894020,18,Dilzem XL 240 capsules (Waymade Healthcare Plc),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,January 2018,1
54903,9157411000001102,05894020,0,Clarithromycin 125mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,May 2013,1
2429,41948911000001104,60842020,178274,Erythromycin ethyl succinate 125mg/5ml oral suspension,Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
53175,16561911000001108,07439020,1,Neoral 25mg capsules (Mawdsley-Brooks & Company Ltd),Ciclosporin,25mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,January 2013,1
52719,13765011000001104,05884020,0,Clarithromycin 250mg tablets (Apotex UK Ltd),Clarithromycin,250mg,Tablet,Oral,05010500,Macrolides,January 2013,1
1324,66515001000027104,56377020,40388,Bezalip 200mg Tablet (Roche Products Ltd),Bezafibrate,200mg,Tablet,Oral,02120300,Fibrates,February 2009,1
88196,38617911000001104,93848021,1,Darolutamide 300mg tablets,Darolutamide,300mg,Tablet,Oral,08030300,Androgens (In Malignant Disease),May 2023,1
8975,36149411000001104,68473020,48754,Verapamil 180mg modified-release capsules,Verapamil hydrochloride,180mg,Modified-release capsule,Oral,00000000,Unknown,February 2009,1
56467,14005111000001104,01909020,714,Tildiem 60mg modified-release tablets (DE Pharmaceuticals),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,August 2013,1
342,41787311000001104,68917020,556717,Fluconazole 50mg capsules,Fluconazole,50mg,Capsule,Oral,05020100,Triazole Antifungals,February 2009,1
79242,16184011000001104,76996020,0,Fenofibrate micronised 67mg capsules (A A H Pharmaceuticals Ltd),Fenofibrate micronised,67mg,Capsule,Oral,02120300,Fibrates,December 2019,1
73491,10639311000001102,73243020,148,Fenofibrate micronised 267mg capsules (A A H Pharmaceuticals Ltd),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,October 2018,1
36878,11960911000001108,93930020,5223,Rasilez 150mg tablets (Noden Pharma DAC),Aliskiren hemifumarate,150mg,Tablet,Oral,02050503,Renin Inhibitors,February 2009,1
67890,21965511000001104,47165020,4,Uard 300XL capsules (Ennogen Healthcare Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,October 2016,1
68710,32447511000001104,67745021,16,Brilique 60mg tablets (AstraZeneca UK Ltd),Ticagrelor,60mg,Tablet,Oral,02090000,Antiplatelet Products,January 2017,1
34779,231611000001103,59393020,3,Erythromycin ethyl succinate 125mg/5ml oral suspension (Sandoz Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
40729,15871411000001108,97431020,3646,Tredaptive 1000mg/20mg modified-release tablets (Organon Pharma (UK) Ltd),Nicotinic acid/Laropiprant,1gram + 20mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,November 2009,1
72040,28989111000001104,47992021,13,Warfarin 3mg tablets (Crescent Pharma Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,April 2018,1
34277,646111000001100,56740020,107,Gemfibrozil 600mg tablets (Teva UK Ltd),Gemfibrozil,600mg,Tablet,Oral,02120300,Fibrates,February 2009,1
88319,40686011000001104,02198022,0,Dasatinib 15.8mg tablets,Dasatinib anhydrous,15.8mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,June 2023,1
2721,41789811000001104,63874020,12475,Ketoconazole 200mg tablets,Ketoconazole,200mg,Tablet,Oral,06070000,Other Endocrine Drugs,February 2009,1
68367,32163811000001104,62309021,0,Erythromycin ethyl succinate 500mg tablets (Dawa Ltd),Erythromycin ethyl succinate,500mg,Tablet,Oral,05010500,Macrolides,December 2016,1
2238,41903411000001104,64744020,29192,Miconazole 2% vaginal cream,Miconazole nitrate,20mg/1gram,Cream,Vaginal,07020100,Preparations For Vaginal And Vulval Changes,February 2009,1
17599,7852611000001103,88811020,82,Verapress MR 240mg tablets (Sandoz Ltd),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
88477,38905011000001104,95328021,0,Fenofibrate micronised 267mg capsules (Medihealth (Northern) Ltd),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,July 2023,1
3318,319966005,62908020,32297,Gemfibrozil 300mg capsules,Gemfibrozil,300mg,Capsule,Oral,02120300,Fibrates,February 2009,1
39446,7337311000001107,87726020,2,Reyataz 150mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd),Atazanavir sulfate,150mg,Capsule,Oral,05030151,Protease Inhibitors,April 2009,1
67329,13922411000001100,02461020,36,Lipantil Micro 267 capsules (DE Pharmaceuticals),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,August 2016,1
52615,14344711000001108,07444020,2,Neoral 100mg capsules (Sigma Pharmaceuticals Plc),Ciclosporin,100mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,January 2013,1
82629,23984211000001104,22962021,2,Cobicistat 150mg tablets,Cobicistat,150mg,Tablet,Oral,05030154,Pharmacokinetic Enhancers Of Antiretrovirals,January 2021,1
38882,2886311000001102,95563020,255653,Adizem-XL 240mg capsules (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
43430,10065011000001102,61274020,298,Diltiazem 120mg modified-release tablets (A A H Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,September 2010,1
18975,152715001000027100,68163020,61,Calcicard 60mg Tablet (3M Health Care Ltd),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
47042,203115001000027100,77102020,52,Ciclosporin 100mg Capsule (Hillcross Pharmaceuticals Ltd),Ciclosporin,100mg,Capsule,Oral,01050300/08020200,Products Affecting The Immune Response In Chronic Bowel Problems/Corticosteroids And Other Immunosuppressants,April 2012,1
61612,21975811000001104,47442020,1,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Waymade Healthcare Plc),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,November 2014,1
41389,234075001000027100,86347020,6,Erythoden 250mg/5ml Liquid (Stevenden Healthcare),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,March 2010,1
11922,8456911000001108,90541020,897,Diltiazem 60mg/5ml oral suspension,Diltiazem hydrochloride,12mg/1ml,Oral suspension,Oral,02060200,Calcium-Channel Blockers,February 2009,1
1497,41955111000001110,66607020,22953,Sodium fusidate 250mg tablets,Sodium fusidate,250mg,Tablet,Oral,05010700,Other Antibacterials,February 2009,1
34377,95755001000027100,60316020,63,Diltiazem HCl 90mg Modified-release capsule (Hillcross Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
63206,15849011000001100,76680020,1,Itraconazole 100mg capsules (Teva UK Ltd),Itraconazole,100mg,Capsule,Oral,05020100,Triazole Antifungals,May 2015,1
58292,15054411000001108,06195020,1,Fluconazole 150mg capsules (Sigma Pharmaceuticals Plc),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,December 2013,1
69369,28394411000001104,44213021,25,Rezolsta 800mg/150mg tablets (Janssen-Cilag Ltd),Darunavir ethanolate/Cobicistat,800mg + 150mg,Tablet,Oral,05030151,Protease Inhibitors,May 2017,1
83227,38890211000001104,94776021,0,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Medihealth (Northern) Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,March 2021,1
82611,18461511000001104,06187020,0,Fluconazole 50mg capsules (Accord-UK Ltd),Fluconazole,50mg,Capsule,Oral,05020100,Triazole Antifungals,January 2021,1
86312,17299611000001108,77452020,0,Fenofibrate micronised 67mg capsules (Teva UK Ltd),Fenofibrate micronised,67mg,Capsule,Oral,02120300,Fibrates,July 2022,1
40784,8993811000001101,69458020,7,Clarithromycin 500mg tablets (Sandoz Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,November 2009,1
15288,467111000001105,86669020,42523,Angitil XL 300 capsules (Ethypharm UK Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
87196,40924711000001104,02735022,0,Erythromycin stearate 250mg tablets (Ennogen Pharma Ltd),Erythromycin stearate,250mg,Tablet,Oral,05010500,Macrolides,December 2022,1
5296,111165001000027100,62587020,207863,Tildiem la 300mg Modified-release capsule (Sanofi),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
3209,10375001000027108,49303020,2624,Erythromid 250mg Tablet (Abbott Laboratories Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
53176,20164511000001104,39875020,3,Neoral 50mg capsules (DE Pharmaceuticals),Ciclosporin,50mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,January 2013,1
34581,152545001000027100,68132020,1805,Diltiazem HCl 60mg Modified-release tablet (Kent Pharmaceuticals Ltd),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
7353,41768611000001104,83133020,149,Ritonavir 100mg capsules,Ritonavir,100mg,Capsule,Oral,00000000,Unknown,February 2009,1
3159,9843611000001100,70568020,32779,Fenofibrate 200mg capsules,Fenofibrate,200mg,Capsule,Oral,02120300,Fibrates,February 2009,1
88631,38889611000001110,94817021,0,Erythromycin ethyl succinate 125mg/5ml oral suspension (Medihealth (Northern) Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,August 2023,1
83374,35514911000001108,80835021,2,Olaparib 150mg tablets,Olaparib,150mg,Tablet,Oral,08010500,Other Antineoplastic Drugs,March 2021,1
1130,407011000001105,84427020,34465,Viazem XL 300mg capsules (Thornton & Ross Ltd),Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
49958,19617911000001104,07441020,3,Neoral 25mg capsules (DE Pharmaceuticals),Ciclosporin,25mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,January 2013,1
74053,17537411000001102,01897020,20,Dilzem XL 240 capsules (Sigma Pharmaceuticals Plc),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,December 2018,1
4808,39023511000001104,75522020,99501,Diltiazem 240mg modified-release capsules,Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
16747,10425001000027104,49308020,48,Erythroped 250mg Sachets (Abbott Laboratories Ltd),Erythromycin Ethyl Succinate,250mg,Sachets,Oral,05010500,Macrolides,February 2009,1
42897,4114511000001102,65607020,45,Fluconazole 50mg capsules (Teva UK Ltd),Fluconazole,50mg,Capsule,Oral,05020100,Triazole Antifungals,July 2010,1
78497,605811000001107,59395020,0,Erythromycin ethyl succinate 500mg/5ml oral suspension (Sandoz Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,November 2019,1
82804,38912711000001104,95061021,4,Kaftrio 75mg/50mg/100mg tablets (Vertex Pharmaceuticals (Europe) Ltd),Tezacaftor/Ivacaftor/Elexacaftor,50mg + 75mg + 100mg,Tablet,Oral,03120000,Other Respiratory System Products,January 2021,1
54867,21263311000001104,44424020,28,Ciclosporin 50mg capsules (Sigma Pharmaceuticals Plc),Ciclosporin,50mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,May 2013,1
7398,648211000001107,84428020,57388,Viazem XL 360mg capsules (Thornton & Ross Ltd),Diltiazem hydrochloride,360mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
53875,13745811000001102,05906020,0,Clarithromycin 500mg tablets (Tillomed Laboratories Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,February 2013,1
25595,364211000001104,61119020,0,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
34418,727111000001108,62805020,62,Warfarin 5mg tablets (Viatris UK Healthcare Ltd),Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
13635,190835001000027100,74144020,88,Erythromycin ethylsuccinate 250mg sachets,Erythromycin Ethyl Succinate,250mg,Sachets,Oral,05010500,Macrolides,February 2009,1
88555,23979811000001108,21800021,2,Fluconazole 50mg capsules (DE Pharmaceuticals),Fluconazole,50mg,Capsule,Oral,05020100,Triazole Antifungals,August 2023,1
4153,82315001000027100,58448020,237,Erythrolar 250mg/5ml Liquid (Lagap),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
71702,8443011000001104,19778020,1,Diltiazem 60mg/5ml oral solution (Special Order),Diltiazem hydrochloride,12mg/1ml,Oral solution,Oral,02060200,Calcium-Channel Blockers,February 2018,1
47732,924711000001109,97275020,239,Zemret 180 XL capsules (Tillomed Laboratories Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,August 2012,1
1781,319735007,65439020,3014029,Warfarin 5mg tablets,Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
2435,168605001000027100,70563020,9616,Lipantil 100mg Capsule (Fournier Pharmaceuticals Ltd),Fenofibrate,100mg,Capsule,Oral,02120300,Fibrates,February 2009,1
26309,203575001000027100,77216020,1062,Optil xl 240mg Modified-release capsule (Opus Pharmaceuticals Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
83089,37225211000001104,88568021,3,Glyxambi 10mg/5mg tablets (Boehringer Ingelheim Ltd),Linagliptin/Empagliflozin,5mg + 10mg,Tablet,Oral,06010211,Gliflozins Plus Gliptins,February 2021,1
33694,784711000001108,62662020,21,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Viatris UK Healthcare Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
1214,66525001000027104,56378020,204491,Bezalip 400mg Tablet (Roche Products Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,1
71166,41762711000001104,27367021,12,Eltrombopag 75mg tablets,Eltrombopag olamine,75mg,Tablet,Oral,09010400,Drugs Used In Platelet Disorders,December 2017,1
5216,32685001000027104,52058020,130537,Bezalip mono 400mg Modified-release tablet (Roche Products Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,1
5357,37083211000001104,76385020,141921,Clarithromycin 250mg/5ml oral suspension,Clarithromycin,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
4732,39023911000001104,72564020,149184,Diltiazem 90mg modified-release tablets,Diltiazem hydrochloride,90mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
36062,41761211000001104,92351020,18,Dasatinib 50mg tablets,Dasatinib monohydrate,50mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,February 2009,1
17666,33211000001108,84422020,52236,Viazem XL 180mg capsules (Thornton & Ross Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
63,41948811000001104,59396020,4176903,Erythromycin 250mg gastro-resistant tablets,Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
5305,738511000001103,51558020,45985,Sinthrome 1mg tablets (Norgine Pharmaceuticals Ltd),Acenocoumarol,1mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
45759,129455001000027100,65091020,11,Diltiazem HCl 240mg Capsule (PLIVA Pharma Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,July 2011,1
64481,8581711000001101,20241020,4,Ketoconazole 100mg/5ml oral suspension,Ketoconazole,20mg/1ml,Oral suspension,Oral,05020200,Imidazole Antifungals,October 2015,1
81207,17465511000001108,01874020,0,Tildiem Retard 90mg tablets (Mawdsley-Brooks & Company Ltd),Diltiazem hydrochloride,90mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,July 2020,1
65285,28988911000001100,47991021,14,Warfarin 1mg tablets (Crescent Pharma Ltd),Warfarin sodium,1mg,Tablet,Oral,02080200,Oral Anticoagulants,January 2016,1
71154,5298511000001100,05892020,2,Klaricid Paediatric 125mg/5ml oral suspension (Dowelhurst Ltd),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,December 2017,1
66819,22878811000001100,17441021,0,Erythrocin 500 tablets (Waymade Healthcare Plc),Erythromycin stearate,500mg,Tablet,Oral,05010500,Macrolides,July 2016,1
31690,9740211000001104,89871020,6,Clarosip 250mg granules for oral suspension straws (Grunenthal Ltd),Clarithromycin,250mg,Granules,Oral,00000000,Unknown,February 2009,1
